Stock,Stock Price,Previous Close,Overnight Price Return,Market Capitalisation,Trailing Price to Earnings Ratio,Number of Shares to Buy
DFS,180.11,182.43,0.9872827934002083,45220577280,14.4899435,N/A
DG,77.79,77.27,1.0067296492817395,17107188736,12.097979,N/A
DLTR,72.81,71.27,1.0216079696927178,15653567488,,N/A
D,57.34,58.75,0.9760000000000001,48166170624,21.15867,N/A
DPZ,466.18,476.19,0.978978978978979,16098127872,28.652735,N/A
DOV,204.7,205.9,0.9941719281204467,28083202048,18.592188,N/A
DOW,44.38,44.21,1.003845283872427,31070085120,29.586668,N/A
DHI,167.4,168.78,0.9918236757909705,53763854336,11.665504,N/A
DTE,123.6,125.78,0.9826681507393862,25597681664,16.747967,N/A
DUK,115.18,117.05,0.9840239214011107,88974475264,20.678635,N/A
DD,83.72,83.59,1.0015552099533436,34991194112,65.40625,N/A
EMN,104.27,104.72,0.9957028265851795,12086248448,13.977211,N/A
ETN,372.22,375.42,0.991476213307762,147101351936,39.5138,N/A
EBAY,63.17,63.29,0.9981039658713857,30258429952,15.911839,N/A
ECL,248.45,248.77,0.998713671262612,70351593472,34.845722,N/A
EIX,85.78,87.75,0.9775498575498576,33209726976,25.081871,N/A
EW,70.53,71.35,0.9885073580939034,41598595072,27.23166,N/A
EA,165.96,163.67,1.013991568399829,43526828032,42.55385,N/A
ELV,410.39,406.96,1.008428346766267,95178883072,14.945012,N/A
EMR,133.77,132.6,1.008823529411765,76275654656,47.436172,N/A
ENPH,75.12,71.35,1.0528381219341276,10149238784,163.30435,N/A
ETR,153.25,156.17,0.9813024268425434,32858025984,18.620901,N/A
EOG,131.24,133.26,0.9848416629146032,73815941120,10.592413,N/A
EPAM,243.79,243.92,0.9994670383732371,13828109312,31.66104,N/A
EQT,44.53,45.44,0.9799735915492959,26570338304,59.373333,N/A
EFX,258.7,261.56,0.9890656063618289,32066383872,57.48889,N/A
EQIX,964.84,981.48,0.983046012144924,93095673856,86.92252,N/A
EQR,75.24,76.66,0.9814766501434907,29425836032,31.746836,N/A
ERIE,437.25,440.56,0.9924868349373525,22863759360,40.97938,N/A
ESS,304.09,310.46,0.9794820588803711,20252362752,35.607727,N/A
EL,75.98,72.12,1.0535219079312257,27275149312,135.67857,N/A
EG,383.73,387.56,0.990117659201156,16492178432,5.988296,N/A
EVRG,63.61,64.63,0.9842178554850689,14628773888,17.191893,N/A
ES,63.67,64.49,0.9872848503643977,23328813056,,N/A
EXC,38.37,39.56,0.9699191102123356,38555328512,15.790123,N/A
EXPE,185.01,184.62,1.0021124471888203,23745292288,24.027273,N/A
EXPD,121.47,120.91,1.0046315441237283,17002885120,23.678362,N/A
EXR,169.73,170.96,0.9928053345811885,37435817984,45.261333,N/A
XOM,117.85,117.96,0.999067480501865,517961351168,14.676214,N/A
FFIV,252.14,250.35,1.0071499900139804,14779160576,26.374475,N/A
FDS,489.47,490.67,0.997554364440459,18594377728,35.21367,N/A
FICO,2332.11,2375.03,0.9819286493223243,56781983744,113.65059,N/A
FAST,82.67,83.56,0.9893489707994255,47360487424,41.129353,N/A
FRT,114.25,116.65,0.9794256322331761,9778954240,33.212208,N/A
FDX,296.69,302.67,0.9802425083424191,72488189952,18.314198,N/A
FIS,85.13,85.3,0.9980070339976553,45830074368,87.76288,N/A
FITB,47.57,48.06,0.9898044111527258,31897729024,15.856667,N/A
